          3.430      -Infinity      -Infinity
       2966.950            NaN            NaN
       2970.380       5076.347       3589.519
       2973.810            NaN            NaN
       2977.240            NaN            NaN
       2980.670       5069.702       3584.821
       2984.100       5075.344       3588.810
       2987.530       5077.093       3590.047
       2990.960       5075.779       3589.117
       2994.390       5075.907       3589.208
       2997.820       5074.379       3588.128
       3001.250       5064.093       3580.854
       3004.680       5065.657       3581.961
       3008.110       5064.083       3580.847
       3011.540       5061.596       3579.089
       3014.970            NaN            NaN
       3018.400            NaN            NaN
       3021.830       5068.923       3584.270
       3025.260       5069.064       3584.369
       3028.690       5065.893       3582.128
       3032.120       5072.863       3587.056
       3035.550       5073.290       3587.358
       3038.980       5066.182       3582.332
       3042.410       5071.981       3586.432
       3045.840            NaN            NaN
       3049.270            NaN            NaN
       3052.700       5075.021       3588.582
       3056.130       5064.941       3581.454
       3059.560       5064.829       3581.375
       3062.990       5076.182       3589.403
       3066.420            NaN            NaN
       3069.850            NaN            NaN
       3073.280       5078.457       3591.011
       3076.710            NaN            NaN
       3080.140            NaN            NaN
       3083.570       5070.382       3585.301
       3087.000       5073.241       3587.323
       3090.430       5071.072       3585.789
       3093.860       5063.806       3580.651
       3097.290       5063.750       3580.612
       3100.720       5065.834       3582.085
       3104.150       5069.259       3584.508
       3107.580       5069.156       3584.435
       3111.010            NaN            NaN
       3114.440            NaN            NaN
       3117.870            NaN            NaN
       3121.300       5072.127       3586.536
       3124.730       5071.612       3586.171
       3128.160       5061.430       3578.972
       3131.590            NaN            NaN
       3135.020            NaN            NaN
       3138.450       5067.432       3583.215
       3141.880       5075.196       3588.706
       3145.310            NaN            NaN
