          3.430      -Infinity      -Infinity
       1879.640        -27.898        -19.727
       1883.070        -30.739        -21.736
       1886.500        -27.704        -19.590
       1889.930        -29.355        -20.757
       1893.360        -29.605        -20.934
       1896.790        -27.071        -19.142
       1900.220        -32.484        -22.970
       1903.650        -26.928        -19.041
       1907.080        -29.295        -20.715
       1910.510        -29.862        -21.116
       1913.940        -26.608        -18.815
       1917.370        -33.088        -23.397
       1920.800        -26.989        -19.084
       1924.230        -29.041        -20.535
       1927.660        -30.213        -21.364
       1931.090        -26.996        -19.089
       1934.520        -31.902        -22.558
       1937.950        -27.782        -19.645
       1941.380        -29.258        -20.689
       1944.810        -29.746        -21.034
       1948.240        -28.339        -20.039
       1951.670        -30.080        -21.269
       1955.100        -28.615        -20.234
       1958.530        -29.999        -21.212
       1961.960        -28.392        -20.076
       1965.390        -30.253        -21.392
       1968.820        -28.659        -20.265
       1972.250        -28.724        -20.311
       1975.680        -30.844        -21.810
       1979.110        -27.255        -19.272
       1982.540        -31.766        -22.462
       1985.970        -27.964        -19.773
       1989.400        -28.565        -20.199
       1992.830        -31.181        -22.048
       1996.260        -26.958        -19.062
       1999.690        -32.246        -22.802
       2003.120        -27.823        -19.674
       2006.550        -28.969        -20.484
       2009.980        -30.585        -21.627
       2013.410        -27.425        -19.392
       2016.840        -32.032        -22.650
       2020.270        -27.793        -19.652
       2023.700        -29.990        -21.206
       2027.130        -29.510        -20.866
       2030.560        -28.219        -19.954
       2033.990        -31.391        -22.197
       2037.420        -27.833        -19.681
       2040.850        -30.872        -21.830
       2044.280        -28.797        -20.362
       2047.710        -29.190        -20.640
       2051.140        -30.246        -21.387
       2054.570        -28.490        -20.146
       2058.000        -30.771        -21.759
       2061.430        -28.440        -20.110
       2064.860        -30.784        -21.768
       2068.290        -28.549        -20.187
       2071.720        -29.807        -21.077
       2075.150        -29.955        -21.181
       2078.580        -27.744        -19.618
       2082.010        -33.037        -23.360
       2085.440        -27.127        -19.182
       2088.870        -30.535        -21.591
       2092.300        -29.540        -20.888
       2095.730        -27.152        -19.200
       2099.160        -34.157        -24.152
       2102.590        -27.018        -19.105
       2106.020        -30.354        -21.464
       2109.450        -29.908        -21.148
       2112.880        -27.848        -19.692
       2116.310        -31.997        -22.625
       2119.740        -28.456        -20.122
       2123.170        -30.190        -21.348
       2126.600        -29.519        -20.873
